theta,Delta_mean_beh,Delta_median_beh,MTTD_beh,Delta_mean_rat,Delta_median_rat,MTTD_rat,Delta_mean_diff,Delta_median_diff,MTTD_diff
0.75,0.23000000000000004,0.55,0.7877777777777777,2.43,2.05,2.43,2.2,1.5,1.642222222222222
0.85,1.3855555555555554,2.0,1.7577777777777779,5.01,4.5,5.01,3.624444444444444,2.5,3.2522222222222226
0.9,2.449047619047619,2.85,2.627936507936508,7.209999999999999,6.15,7.209999999999999,4.76095238095238,3.3,4.582063492063492
