theta,Pre-Exfil (%),MTTD (days),F1 (Period),F1 (UserEver)
0.75,31.0,0.7877777777777777,0.5825193654854572,0.22772693883522885
0.85,12.0,1.7577777777777779,0.6988295531843632,0.7435049050566291
0.9,6.0,2.627936507936508,0.6591181497807247,0.9387301587301587
