Day,Regret_Target,Regret_NonTarget
0,7.065021554067701,7.335068874662451
1,7.0457253668432855,7.241424117338437
2,8.633249726918143,7.264754465189216
3,7.023117745023356,7.245512823602705
4,7.026844207256159,7.219441915540904
5,7.00881931793691,7.204288856692653
6,6.993083758313257,7.247549839969446
7,7.862847052151406,7.203515302142706
8,7.437774453463158,7.2081549193022445
9,8.26515253669577,7.215974922747816
10,8.91889590544917,7.1809489807824205
11,9.702120562033915,7.1792715801873905
12,10.839047587473761,7.1156392697202175
13,11.951662868467233,7.1994356708823934
14,12.327647427121587,7.220932052107641
15,14.098210136835496,7.1829608484664895
16,14.054754144326234,7.1667685542313375
17,14.901324157936717,7.143070091021222
18,15.612736853433466,7.166472580038773
19,16.747827886395484,7.184012612571057
20,15.036013026948485,7.206819843226904
21,14.164348201649949,7.190499126658089
22,8.907440148004373,7.1750402356709895
23,8.947690511529467,7.161850377736362
24,5.291668151347947,7.176704583496289
25,3.478259724903045,7.195265414470735
26,3.6949312716970333,7.22659168582517
27,1.8456,7.203759374869506
28,1.8456033712412079,7.185928694218979
29,1.8456000000000004,7.169231010514634
