Day,Regret_Target,Regret_NonTarget
0,7.683974289889726,7.128021569648279
1,7.251977751525852,7.090379110318749
2,6.809998832415021,7.070621245739066
3,6.7907956996628265,6.998520579032467
4,6.788983195402243,7.009800078639795
5,7.592539046742794,7.013820366852498
6,7.303187858013917,7.008632695405812
7,7.048249907070414,6.997553378632848
8,7.854840888160796,6.996533312080668
9,8.078700447976663,6.9941743623368
10,8.64859523643635,6.967340837071732
11,9.934787199422463,7.0033454328418205
12,10.457321084658776,6.991421941434648
13,11.622003395838034,6.968581621130177
14,12.622874873480402,6.981538361705615
15,13.520379871358319,6.974602229512981
16,14.761144354418578,6.938588088711473
17,14.991647238643885,6.94070207567726
18,14.933391321611666,6.907261757060295
19,14.97858318106784,6.93473781847228
20,14.559446192878745,6.914462735254956
21,13.078647174716643,6.893633059854432
22,12.470053977375663,6.89900422635134
23,7.120547463650201,6.899653286717584
24,5.3043497804323785,6.921660815399189
25,2.6607394456290043,6.907986334288741
26,0.925542857142857,6.90116455287645
27,0.925542857142857,6.900900290457727
28,0.925542857142857,6.892203539099649
29,0.925542857142857,6.876120805376111
