Day,Regret_Target,Regret_NonTarget
0,7.064437617160653,7.322829722008106
1,7.057883954017628,7.265462775429442
2,7.41261414314271,7.237248176742831
3,7.39301593199642,7.2317533829079785
4,7.797836672983012,7.234692852150431
5,7.788480347623326,7.199273394617611
6,7.106762321075433,7.204452703219228
7,7.6495149446891695,7.222822290261373
8,8.33836098876726,7.184252214018975
9,8.25066228670146,7.188067516975132
10,9.24461705459461,7.186871197608614
11,10.724611202313772,7.194059931605882
12,10.88102036697424,7.195540880450396
13,11.531767072230046,7.198049584853958
14,12.90975596541043,7.178522822986853
15,13.627737526964395,7.19425968408037
16,14.35985320732108,7.114975935757304
17,15.281221090407616,7.133943498591902
18,14.853407991194043,7.124438034465729
19,15.63089232911151,7.12475934625572
20,15.55962729374853,7.123874060032152
21,14.919531160206716,7.122845407280307
22,11.688621345017912,7.081234723662549
23,8.035526277288877,7.105648882982344
24,2.643500000000049,7.068237018775166
25,1.7364800700749683,7.1097371922275645
26,0.9228,7.095877439727317
27,0.9228000000045793,7.093164064643475
28,0.9228,7.092371029665959
29,0.0,7.1051095450483785
