theta,Delta_mean_beh,Delta_median_beh,MTTD_beh,Delta_mean_rat,Delta_median_rat,MTTD_rat,Delta_mean_diff,Delta_median_diff,MTTD_diff
0.75,0.39,0.9,0.9511111111111111,2.7199999999999998,2.05,2.7199999999999998,2.33,1.15,1.768888888888889
0.85,1.7961111111111112,2.1,2.016111111111111,5.4799999999999995,4.75,5.4799999999999995,3.6838888888888888,2.65,3.4638888888888886
0.9,2.9316666666666666,3.05,2.9761111111111114,8.538888888888888,7.05,8.538888888888888,5.607222222222222,4.0,5.562777777777778
